time_s	surface_excess_mol_m2	dynamic_surface_tension_N_m
146.5	4.86115384089073e-07	71.89871389754228
147.0	4.870691452163015e-07	71.89871119865943
147.5	4.880216271650074e-07	71.89870850264569
148.0	4.889728360042673e-07	71.8987058094865
148.5	4.899227777522236e-07	71.89870311916738
149.0	4.908714583767024e-07	71.89870043167402
149.5	4.918188837957898e-07	71.89869774699218
150.0	4.927650598784332e-07	71.8986950651078
150.5	4.937099924449842e-07	71.89869238600689
151.0	4.946536872677619e-07	71.89868970967558
151.5	4.955961500716494e-07	71.89868703610016
152.0	4.965373865345846e-07	71.89868436526696
152.5	4.974774022881395e-07	71.8986816971625
153.0	4.984162029180131e-07	71.89867903177337
153.5	4.993537939646083e-07	71.89867636908626
154.0	5.002901809234773e-07	71.89867370908802
154.5	5.012253692459008e-07	71.89867105176553
155.0	5.021593643393197e-07	71.89866839710587
155.5	5.030921715678822e-07	71.89866574509614
156.0	5.040237962529022e-07	71.8986630957236
156.5	5.049542436733333e-07	71.89866044897559
157.0	5.058835190662647e-07	71.89865780483954
157.5	5.068116276273705e-07	71.89865516330303
158.0	5.077385745113564e-07	71.8986525243537
158.5	5.08664364832434e-07	71.89864988797926
159.0	5.095890036647633e-07	71.89864725416759
159.5	5.105124960428693e-07	71.8986446229066
160.0	5.114348469621033e-07	71.89864199418436
160.5	5.123560613790625e-07	71.89863936798896
161.0	5.132761442119821e-07	71.89863674430866
161.5	5.141951003412011e-07	71.89863412313176
162.0	5.15112934609529e-07	71.89863150444666
162.5	5.160296518226698e-07	71.89862888824184
163.0	5.169452567496196e-07	71.89862627450593
163.5	5.178597541230435e-07	71.89862366322757
164.0	5.187731486396902e-07	71.89862105439553
164.5	5.196854449607432e-07	71.89861844799866
165.0	5.205966477122263e-07	71.89861584402588
165.5	5.215067614853439e-07	71.89861324246624
166.0	5.224157908368874e-07	71.89861064330881
166.5	5.233237402895462e-07	71.89860804654279
167.0	5.242306143323181e-07	71.89860545215744
167.5	5.251364174208203e-07	71.8986028601421
168.0	5.260411539776571e-07	71.89860027048623
168.5	5.269448283927612e-07	71.8985976831793
169.0	5.278474450237166e-07	71.89859509821093
169.5	5.287490081961125e-07	71.89859251557075
170.0	5.296495222038539e-07	71.89858993524854
170.5	5.305489913095112e-07	71.89858735723408
171.0	5.314474197446136e-07	71.89858478151727
171.5	5.32344811709966e-07	71.8985822080881
172.0	5.332411713759988e-07	71.8985796369366
172.5	5.341365028830284e-07	71.89857706805287
173.0	5.350308103415896e-07	71.89857450142712
173.5	5.359240978327146e-07	71.89857193704958
174.0	5.368163694082724e-07	71.89856937491061
174.5	5.377076290911964e-07	71.89856681500059
175.0	5.385978808758318e-07	71.89856425731001
175.5	5.394871287281866e-07	71.89856170182938
176.0	5.403753765862315e-07	71.89855914854932
176.5	5.412626283601529e-07	71.89855659746051
177.0	5.421488879326636e-07	71.89855404855369
177.5	5.430341591592368e-07	71.89855150181965
178.0	5.43918445868396e-07	71.89854895724929
178.5	5.448017518619799e-07	71.89854641483352
179.0	5.456840809153811e-07	71.89854387456334
179.5	5.465654367778317e-07	71.89854133642984
180.0	5.474458231726317e-07	71.89853880042415
180.5	5.48325243797424e-07	71.89853626653742
181.0	5.492037023244223e-07	71.89853373476093
181.5	5.500812024006636e-07	71.898531205086
182.0	5.509577476482593e-07	71.89852867750399
182.5	5.518333416646128e-07	71.89852615200634
183.0	5.527079880226817e-07	71.89852362858454
183.5	5.53581690271174e-07	71.89852110723014
184.0	5.544544519348234e-07	71.89851858793475
184.5	5.553262765145848e-07	71.89851607069004
185.0	5.561971674878687e-07	71.89851355548772
185.5	5.570671283087594e-07	71.89851104231961
186.0	5.579361624082318e-07	71.89850853117751
186.5	5.58804273194393e-07	71.89850602205334
187.0	5.596714640526494e-07	71.89850351493902
187.5	5.605377383459695e-07	71.89850100982657
188.0	5.614030994150424e-07	71.89849850670805
188.5	5.622675505785312e-07	71.89849600557557
189.0	5.631310951332475e-07	71.89849350642127
189.5	5.639937363543582e-07	71.8984910092374
190.0	5.648554774955873e-07	71.89848851401621
190.5	5.657163217894112e-07	71.89848602075001
191.0	5.66576272447254e-07	71.8984835294312
191.5	5.674353326596807e-07	71.89848104005218
192.0	5.682935055965894e-07	71.89847855260541
192.5	5.69150794407384e-07	71.89847606708344
193.0	5.700072022211796e-07	71.8984735834788
193.5	5.708627321469786e-07	71.89847110178415
194.0	5.71717387273841e-07	71.89846862199215
194.5	5.725711706710866e-07	71.8984661440955
195.0	5.734240853883894e-07	71.89846366808696
195.5	5.742761344562257e-07	71.89846119395936
196.0	5.751273208855602e-07	71.89845872170554
196.5	5.759776476684793e-07	71.89845625131841
197.0	5.768271177781367e-07	71.89845378279091
197.5	5.776757341689603e-07	71.89845131611605
198.0	5.785234997768353e-07	71.89844885128686
198.5	5.793704175192288e-07	71.8984463882964
199.0	5.802164902953992e-07	71.89844392713785
199.5	5.810617209865064e-07	71.89844146780433
200.0	5.819061124558265e-07	71.89843901028908
200.5	5.827496675488446e-07	71.89843655458536
201.0	5.835923890934597e-07	71.89843410068646
201.5	5.844342799001269e-07	71.89843164858571
202.0	5.852753427619714e-07	71.89842919827653
202.5	5.861155804550029e-07	71.89842674975233
203.0	5.869549957381849e-07	71.89842430300658
203.5	5.877935913536626e-07	71.89842185803276
204.0	5.886313700268419e-07	71.89841941482446
204.5	5.894683344665699e-07	71.89841697337526
205.0	5.903044873652506e-07	71.89841453367876
205.5	5.91139831399008e-07	71.89841209572866
206.0	5.919743692278182e-07	71.89840965951866
206.5	5.928081034956265e-07	71.89840722504249
207.0	5.936410368305096e-07	71.89840479229396
207.5	5.94473171844787e-07	71.89840236126688
208.0	5.953045111351764e-07	71.8983999319551
208.5	5.961350572828977e-07	71.89839750435253
209.0	5.969648128538271e-07	71.89839507845312
209.5	5.977937803986084e-07	71.89839265425081
210.0	5.98621962452785e-07	71.89839023173963
210.5	5.994493615369304e-07	71.89838781091362
211.0	6.002759801567652e-07	71.89838539176687
211.5	6.011018208032808e-07	71.89838297429348
212.0	6.019268859528513e-07	71.8983805584876
212.5	6.027511780673876e-07	71.89837814434344
213.0	6.035746995944061e-07	71.89837573185521
213.5	6.043974529671984e-07	71.89837332101716
214.0	6.052194406049048e-07	71.89837091182359
214.5	6.060406649126436e-07	71.89836850426882
215.0	6.068611282816393e-07	71.89836609834721
215.5	6.076808330893262e-07	71.89836369405315
216.0	6.084997816994379e-07	71.89836129138106
216.5	6.09317976462154e-07	71.89835889032541
217.0	6.101354197141911e-07	71.89835649088067
217.5	6.10952113778902e-07	71.89835409304139
218.0	6.117680609664027e-07	71.89835169680211
218.5	6.125832635736683e-07	71.8983493021574
219.0	6.133977238846317e-07	71.8983469091019
219.5	6.142114441702959e-07	71.89834451763026
220.0	6.150244266888361e-07	71.89834212773715
220.5	6.158366736857038e-07	71.89833973941728
221.0	6.166481873937042e-07	71.89833735266541
221.5	6.174589700331396e-07	71.89833496747629
222.0	6.182690238118574e-07	71.89833258384472
222.5	6.190783509253992e-07	71.89833020176555
223.0	6.198869535570561e-07	71.89832782123362
223.5	6.206948338779722e-07	71.89832544224384
224.0	6.215019940472649e-07	71.89832306479113
224.5	6.223084362120855e-07	71.89832068887041
225.0	6.231141625077284e-07	71.8983183144767
225.5	6.239191750577369e-07	71.89831594160498
226.0	6.2472347597395e-07	71.89831357025028
226.5	6.255270673566448e-07	71.89831120040768
227.0	6.26329951294588e-07	71.89830883207226
227.5	6.271321298651477e-07	71.89830646523913
228.0	6.279336051343551e-07	71.89830409990346
228.5	6.287343791570291e-07	71.89830173606038
229.0	6.295344539768081e-07	71.89829937370513
229.5	6.303338316263034e-07	71.8982970128329
230.0	6.311325141271143e-07	71.89829465343898
230.5	6.319305034899509e-07	71.89829229551862
231.0	6.327278017147282e-07	71.89828993906714
231.5	6.33524410790591e-07	71.89828758407987
232.0	6.343203326960727e-07	71.89828523055215
232.5	6.351155693990915e-07	71.89828287847936
233.0	6.359101228571141e-07	71.89828052785694
233.5	6.367039950171517e-07	71.8982781786803
234.0	6.374971878159187e-07	71.8982758309449
234.5	6.382897031798319e-07	71.89827348464623
235.0	6.390815430251449e-07	71.89827113977977
235.5	6.398727092579996e-07	71.89826879634107
236.0	6.406632037744971e-07	71.89826645432571
236.5	6.414530284607931e-07	71.89826411372923
237.0	6.422421851931329e-07	71.89826177454724
237.5	6.430306758379736e-07	71.89825943677538
238.0	6.438185022520174e-07	71.8982571004093
238.5	6.446056662822942e-07	71.89825476544466
239.0	6.453921697662308e-07	71.89825243187718
239.5	6.461780145317425e-07	71.89825009970257
240.0	6.469632023972615e-07	71.89824776891655
240.5	6.477477351718383e-07	71.89824543951492
241.0	6.485316146552021e-07	71.89824311149346
241.5	6.493148426378135e-07	71.89824078484796
242.0	6.500974209009647e-07	71.89823845957427
242.5	6.50879351216799e-07	71.89823613566824
243.0	6.516606353484127e-07	71.89823381312576
243.5	6.524412750499189e-07	71.8982314919427
244.0	6.532212720664807e-07	71.89822917211501
244.5	6.540006281344119e-07	71.8982268536386
245.0	6.547793449812212e-07	71.89822453650947
245.5	6.55557424325671e-07	71.89822222072358
246.0	6.563348678778455e-07	71.89821990627694
246.5	6.571116773392325e-07	71.89821759316555
247.0	6.578878544027363e-07	71.8982152813855
247.5	6.586634007527906e-07	71.89821297093283
248.0	6.594383180653686e-07	71.89821066180365
248.5	6.602126080080957e-07	71.89820835399402
249.0	6.609862722402586e-07	71.89820604750012
249.5	6.617593124128988e-07	71.89820374231806
250.0	6.625317301688414e-07	71.89820143844403
250.5	6.633035271427755e-07	71.89819913587421
251.0	6.640747049613148e-07	71.89819683460479
251.5	6.648452652430159e-07	71.89819453463201
252.0	6.656152095984834e-07	71.89819223595212
252.5	6.663845396303848e-07	71.89818993856137
253.0	6.671532569335292e-07	71.89818764245607
253.5	6.679213630949151e-07	71.89818534763248
254.0	6.6868885969377e-07	71.89818305408694
254.5	6.694557483016313e-07	71.8981807618158
255.0	6.702220304823762e-07	71.8981784708154
255.5	6.709877077922852e-07	71.8981761810821
